,State,County,First Doubling,Last Delta,Inv Tau,Tau,R Squared
477,Iowa,Muscatine,15,9,0.07144020406776934,13.997720373970148,0.4047026458208378
266,Florida,St. Johns,11,7,0.07034858751256723,14.21492648763357,0.7643792589406676
594,Oregon,Washington,19,16,0.06998212999602405,14.289362156550734,0.7376162014156699
181,North Carolina,Davidson,8,5,0.06937336949734967,14.414753200624109,0.7560468211510042
47,Georgia,Calhoun,10,2,0.06921296580195155,14.44815994248008,0.30213439520338264
598,Oregon,Clackamas,13,6,0.06890849747844952,14.511998325210046,0.7550417821215669
334,Kentucky,Hopkins,3,20,0.068844102355763,14.525572500493052,0.31217645882551254
237,Ohio,Lake,8,7,0.06883582131055417,14.527319947102544,0.7356018331520687
179,North Carolina,Orange,6,17,0.06840958431322727,14.61783476743983,0.6281816618405669
507,Alabama,Madison,4,12,0.06744518873335992,14.82685449889441,0.46116131778865743
322,New York,St. Lawrence,6,7,0.06734397204141913,14.8491389754225,0.3826206100882705
26,Georgia,Spalding,14,4,0.06731612066088331,14.85528266011754,0.3998829142290531
663,Massachusetts,Franklin,6,11,0.06729495908897849,14.859954052097478,0.5687801027632179
228,Ohio,Stark,16,6,0.06722679850205664,14.875020412721387,0.5658469822969113
633,Maryland,Washington,11,3,0.06721213050629275,14.878266653165753,0.3990387747662072
253,Ohio,Pickaway,10,4,0.0667075499272458,14.990806904025769,0.4161099214984664
229,Ohio,Trumbull,13,6,0.0666971906394423,14.993135249217474,0.8093928293375338
264,Florida,Pasco,16,12,0.06657731087306275,15.020132037273394,0.6985031884433606
317,New York,Columbia,9,-2,0.06636873309796917,15.06733597767891,0.6839251139640607
225,Mississippi,Lauderdale,1,15,0.06623439425841769,15.0978960583294,0.4865966407964774
241,Ohio,Miami,7,3,0.06598750860069479,15.154383325050569,0.6974659522964383
538,Wisconsin,Waukesha,8,10,0.06481967898859409,15.42741364356284,0.7597715830056799
146,Indiana,Floyd,15,11,0.0646616530147406,15.465116547082935,0.5252047234724665
23,Georgia,Rockdale,9,0,0.06464295979713251,15.469588693622269,0.3799893187423904
10,Georgia,Coweta,13,5,0.06452231466326264,15.498514044620512,0.5438025275232019
425,Illinois,Champaign,6,3,0.06410796908242716,15.59868475499894,0.4287054132189082
